,Year,Country,Latitude,Longitude,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged
260,1983,GREECE,38.026,20.228,0.0,0.0,0.0,,,
261,1983,INDONESIA,-4.056,127.924,0.0,0.0,0.0,,,
262,1983,PAPUA NEW GUINEA,-4.883,153.581,0.0,0.0,0.0,,,
263,1983,JAPAN,40.462,139.102,104.0,0.0,324.0,800.0,3513.0,
264,1983,JAPAN,40.249,138.948,0.0,0.0,0.0,,,
265,1983,JAPAN,41.346,139.099,0.0,0.0,0.0,,,
266,1983,GREECE,40.142,24.766,0.0,0.0,0.0,,,
267,1983,RUSSIA,55.867,161.287,0.0,0.0,0.0,,,
268,1983,PHILIPPINES,18.231,120.86,16.0,0.0,47.0,,,
269,1983,INDONESIA,-8.54,123.59,0.0,0.0,0.0,,,
270,1983,NORWAY,61.233,7.717,0.0,0.0,0.0,,,
271,1983,CHILE,-26.535,-70.563,5.0,0.0,12.0,1.0,40.0,
272,1983,UK TERRITORY,-6.852,72.11,0.0,0.0,0.0,,,
273,1984,INDONESIA,-2.823,118.806,2.0,0.0,89.0,0.5,,685.0
274,1984,GREECE,38.396,22.094,0.0,0.0,0.0,,,
275,1984,RUSSIA,44.117,148.192,0.0,0.0,0.0,,,
276,1984,JAPAN,31.448,140.036,0.0,0.0,0.0,,,
277,1984,JAPAN,32.386,131.945,0.0,0.0,9.0,,,
278,1984,CAMEROON,6.25,10.5,37.0,0.0,0.0,,,
279,1984,JAPAN,34.006,141.5,0.0,0.0,0.0,,,
280,1984,RUSSIA,56.194,163.46,0.0,0.0,0.0,,,
281,1985,CHILE,-33.132,-71.708,180.0,0.0,2575.0,1500.0,,
282,1985,GUADELOUPE (FRENCH TERRITORY),17.013,-62.448,0.0,0.0,6.0,,,
283,1985,INDONESIA,-9.245,114.185,0.0,0.0,0.0,,,
284,1985,PAPUA NEW GUINEA,-4.439,152.828,0.0,0.0,0.0,1.0,,
285,1985,MEXICO,18.19,-102.533,9500.0,0.0,30000.0,4000.0,,
286,1985,MEXICO,17.802,-101.647,0.0,0.0,0.0,,,
287,1986,USA,51.52,-174.776,0.0,0.0,0.0,,,
288,1986,USA,52.327,-174.504,0.0,0.0,0.0,,,
289,1986,CAMEROON,6.25,10.5,1700.0,0.0,300.0,,,
290,1986,NEW ZEALAND,-28.117,-176.367,0.0,0.0,0.0,,,
291,1986,TAIWAN,23.901,121.574,15.0,0.0,50.0,,,
292,1987,JAPAN,36.988,141.689,0.0,0.0,0.0,,,
293,1987,PAPUA NEW GUINEA,-6.088,147.689,3.0,0.0,0.0,2.625,,
294,1987,NORWAY,62.2,6.65,0.0,0.0,0.0,,,
295,1987,CHILE,-24.388,-70.161,1.0,0.0,0.0,,,
296,1987,JAPAN,32.034,131.837,2.0,0.0,5.0,,,
297,1987,JAPAN,37.447,137.865,0.0,0.0,0.0,,,
298,1987,NEW ZEALAND,-45.46,167.15,0.0,0.0,0.0,,,
299,1987,SOLOMON ISLANDS,-10.717,162.33,0.0,0.0,0.0,,,
300,1987,VANUATU,-14.074,167.828,0.0,0.0,0.0,,,
301,1987,TONGA,-17.94,-172.225,0.0,0.0,0.0,,,
302,1987,PAPUA NEW GUINEA,-7.288,154.371,0.0,0.0,0.0,,,
303,1987,PAPUA NEW GUINEA,-6.266,149.06,0.0,0.0,0.0,,,
304,1987,USA,58.586,-143.27,0.0,0.0,0.0,,,
305,1987,INDONESIA,-8.247,124.155,0.0,0.0,0.0,,,
306,1987,USA,58.679,-142.786,0.0,0.0,0.0,,,
307,1988,CHILE,-24.753,-70.433,0.0,0.0,0.0,,,
308,1988,USA,57.262,-142.747,0.0,0.0,0.0,0.005,,
309,1988,ITALY,38.4,14.967,0.0,0.0,0.0,,,
310,1988,USA,,,0.0,0.0,0.0,,,
311,1988,PHILIPPINES,18.606,121.013,0.0,0.0,0.0,,,
312,1988,PAPUA NEW GUINEA,-5.964,148.78,0.0,0.0,0.0,,,
313,1988,BANGLADESH,25.149,95.127,5.0,30.0,42.0,,,
314,1988,SOLOMON ISLANDS,-10.258,160.896,1.0,0.0,0.0,,100.0,
315,1988,BANGLADESH,26.755,86.616,998.0,0.0,0.0,131.5,,
316,1989,AUSTRALIA,-52.341,160.568,0.0,0.0,0.0,,,
317,1989,USA,19.362,-155.083,0.0,0.0,0.0,,,
318,1989,USA,55.543,-156.835,0.0,0.0,0.0,,,
